id	selected_letter	surface	status	source	notes
m-base-hmyrit-sa-y	m	hmýriť sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-hmyz-y	m	hmyz	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-smyk-y	m	smyk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-priesmyk-y	m	priesmyk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-smykat-sa-y	m	šmýkať sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-smyknut-sa-y	m	šmyknúť sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-smyk-2-y	m	šmyk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-smyklavka-y	m	šmykľavka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
m-base-zmykat-y	m	žmýkať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pysit-sa-y	p	pýšiť sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pysniet-y	p	pyšnieť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pysny-y	p	pyšný	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-prepych-y	p	prepych	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pykat-y	p	pykať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pyr-y	p	pýr	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pyrit-sa-y	p	pýriť sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pysk-y	p	pysk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pyskaty-y	p	pyskatý	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pystek-y	p	pyštek	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pytat-sa-y	p	pýtať sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-spytovat-sa-y	p	spytovať sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-opytovat-sa-y	p	opytovať sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-dopyt-y	p	dopyt	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-pytliak-y	p	pytliak	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
p-base-kopyto-y	p	kopyto	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
